gh_username,n_commits,n_pr_merged,n_issues_opened,n_comments,n_lines,score
shamb0,5,0,0,1,0,0.0032003299895811484
DamianStraszak,1,0,0,2,10,0.0030817992492262907
ayushmishra2005,4,0,0,0,4,0.0030817992492262907
IAliceBobI,4,0,0,0,4,0.0030817992492262907
piffle-rack,2,0,0,0,10,0.0030817992492262907
kostekIV,2,0,1,0,8,0.0030817992492262907
jualy007,2,0,0,0,8,0.0026076762878068614
Dengjianping,2,0,0,0,8,0.0026076762878068614
bwasty,1,0,0,0,10,0.002370614807097147
humb1t,2,0,0,0,6,0.0021335533263874325
subsocialdev,2,0,0,0,6,0.0021335533263874325
EmisonLu,2,0,0,0,6,0.0021335533263874325
saki-osive,4,0,0,0,0,0.002133553326387432
spartucus,2,0,0,0,5,0.0018964918456777175
JesseAbram,3,0,1,0,0,0.0018964918456777172
Gauthamastro,2,0,0,2,2,0.0018964918456777172
omadoyeabraham,2,0,0,3,0,0.0017779611053228596
omahs,2,0,0,0,4,0.0016594303649680026
hussein-aitlahcen,2,0,0,0,4,0.0016594303649680026
vmarkushin,2,0,0,0,4,0.0016594303649680026
TovarishFin,2,0,0,0,2,0.0011853074035485735
nahuseyoum,2,0,0,0,2,0.0011853074035485735
Kailai-Wang,2,0,0,0,2,0.0011853074035485735
ahasna,1,1,0,0,2,0.0010667766631937163
contrun,1,0,0,0,4,0.0009482459228388587
bjornwgnr,1,0,0,0,4,0.0009482459228388587
mikiquantum,2,0,0,0,1,0.0009482459228388587
alecalve,1,0,0,0,4,0.0009482459228388587
AndrewSterlin,1,0,0,0,4,0.0009482459228388587
siman,1,0,0,1,2,0.0008297151824840013
shamardy,2,0,0,0,0,0.0007111844421291441
FlorianFranzen,2,0,0,0,0,0.0007111844421291441
dt665m,2,0,0,0,0,0.0007111844421291441
Folyd,2,0,0,0,0,0.0007111844421291441
trevor-crypto,2,0,0,0,0,0.0007111844421291441
hamidra,2,0,0,0,0,0.0007111844421291441
fevo1971,2,0,0,0,0,0.0007111844421291441
huitseeker,2,0,0,0,0,0.0007111844421291441
ericjmiller,2,0,0,0,0,0.0007111844421291441
hardliner66,2,0,0,0,0,0.0007111844421291441
Boiethios,1,0,0,1,0,0.00035559222106457193
OAyomide,1,0,0,0,0,0.0
daanschutte,1,0,0,0,0,0.0
joelamouche,1,0,0,0,0,0.0
Akagi201,1,0,0,0,0,0.0
anglinb,1,0,0,0,0,0.0
5chdn,1,0,0,0,0,0.0
adamdossa,1,0,0,0,0,0.0
